idno,cntry,ppltrst,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun
118140,DK,4,Complete trust,Complete trust,Complete trust,5,5,4,6
118180,DK,8,6,9,9,5,4,4,8
118194,DK,8,5,8,9,4,4,1,1
118204,DK,8,9,9,9,7,6,7,9
118259,DK,8,7,9,7,5,6,6,8
118318,DK,9,Complete trust,9,9,8,8,6,9
118379,DK,7,3,8,7,3,3,2,8
118439,DK,8,7,8,8,4,4,2,7
118484,DK,9,8,Complete trust,Complete trust,6,5,8,6
118548,DK,6,3,3,4,2,3,4,4
118767,DK,4,5,7,5,2,3,Don't know,Don't know
118835,DK,6,6,9,9,6,6,4,6
118859,DK,6,6,7,8,7,5,4,5
119007,DK,Most people can be trusted,3,9,8,1,2,2,5
119020,DK,8,3,6,6,3,1,1,3
119072,DK,8,7,9,9,6,6,5,6
119145,DK,8,5,8,7,7,8,2,8
119148,DK,5,4,8,8,3,4,4,4
119247,DK,8,5,8,8,5,5,5,8
119312,DK,2,6,6,6,6,6,4,6
119439,DK,5,2,8,8,2,2,Don't know,Don't know
119465,DK,7,5,7,5,2,5,5,3
119584,DK,5,5,5,8,6,5,No trust at all,7
119601,DK,5,6,8,9,3,3,3,4
119626,DK,6,6,7,7,6,6,4,6
119635,DK,3,3,3,6,3,3,3,3
119699,DK,9,5,9,9,5,5,5,7
119712,DK,8,8,8,8,7,7,Don't know,Don't know
119820,DK,5,8,Complete trust,Complete trust,6,7,4,9
119826,DK,7,3,7,7,2,3,3,7
119828,DK,4,5,Don't know,Complete trust,8,7,Don't know,Don't know
119841,DK,9,6,Complete trust,Complete trust,6,6,7,9
120014,DK,4,7,7,6,4,6,7,8
120043,DK,9,Complete trust,Complete trust,9,8,Refusal,6,9
120059,DK,8,8,9,9,7,7,6,5
120116,DK,5,5,9,9,7,7,8,8
120148,DK,6,7,8,8,5,6,4,6
120170,DK,6,Don't know,Don't know,8,Don't know,Don't know,7,Don't know
120331,DK,8,7,8,8,6,7,6,8
120333,DK,7,5,7,7,3,4,4,5
120409,DK,9,7,9,9,8,8,7,9
120411,DK,8,7,7,7,6,6,7,9
120412,DK,8,9,9,9,8,8,7,8
120421,DK,9,5,9,9,4,4,3,2
120442,DK,6,4,3,8,4,3,5,7
120443,DK,Most people can be trusted,8,Complete trust,Complete trust,7,5,3,8
120708,DK,Most people can be trusted,5,9,9,4,4,3,5
120826,DK,7,7,8,8,6,7,7,8
120862,DK,6,7,7,7,6,5,7,7
120900,DK,5,No trust at all,No trust at all,No trust at all,No trust at all,2,1,No trust at all
120902,DK,3,8,Complete trust,9,6,6,7,9
120935,DK,8,8,9,Complete trust,6,7,7,7
120967,DK,7,7,8,8,7,6,7,7
120972,DK,8,Don't know,8,7,7,7,4,7
121009,DK,5,2,7,8,2,4,Don't know,Don't know
121022,DK,6,3,3,5,2,2,Don't know,2
121065,DK,6,2,8,8,2,2,1,8
121110,DK,8,6,7,7,7,8,8,8
121158,DK,4,1,4,1,No trust at all,1,No trust at all,3
121173,DK,7,8,9,9,7,8,8,9
121227,DK,9,8,8,Complete trust,7,8,Complete trust,Complete trust
121269,DK,7,6,9,7,1,3,Refusal,6
121279,DK,8,5,8,8,5,4,5,6
121287,DK,9,9,Complete trust,Complete trust,4,8,8,9
121375,DK,7,5,4,7,5,5,6,6
121384,DK,7,5,5,6,5,4,6,8
121428,DK,6,6,7,8,4,6,5,5
121590,DK,7,8,9,Complete trust,6,5,9,Complete trust
121657,DK,9,9,8,9,9,8,9,Don't know
121719,DK,4,4,3,6,3,3,5,7
121740,DK,5,7,7,6,7,7,5,5
121833,DK,6,5,9,9,6,6,6,6
121973,DK,8,7,5,9,5,5,5,5
122030,DK,6,5,6,8,6,6,Don't know,5
122064,DK,3,3,6,7,3,6,2,6
122180,DK,9,8,Complete trust,Complete trust,5,6,8,8
122244,DK,8,Complete trust,9,9,8,8,6,6
122274,DK,6,5,7,7,6,5,6,8
122348,DK,8,6,9,6,5,4,6,6
122476,DK,7,8,9,9,6,5,5,8
122518,DK,7,7,9,9,4,4,4,5
122593,DK,6,8,8,9,6,8,8,8
122602,DK,9,6,7,9,7,7,8,9
122666,DK,4,No trust at all,4,9,No trust at all,No trust at all,No trust at all,Don't know
122742,DK,5,8,7,Complete trust,8,8,5,5
122759,DK,8,4,3,8,5,5,5,5
122792,DK,6,3,4,6,2,2,Don't know,Don't know
122816,DK,7,7,8,8,6,6,Don't know,7
122904,DK,2,3,2,2,No trust at all,No trust at all,2,3
122955,DK,8,6,9,Complete trust,6,5,5,7
122988,DK,9,8,8,8,7,7,8,8
123024,DK,7,6,7,5,6,6,7,6
123149,DK,Most people can be trusted,5,8,Complete trust,6,6,6,8
123228,DK,Most people can be trusted,8,Complete trust,Complete trust,7,5,Don't know,Complete trust
123280,DK,8,7,9,9,7,8,7,9
123317,DK,7,5,7,6,4,6,4,5
123322,DK,9,Complete trust,Complete trust,Complete trust,8,8,9,9
123381,DK,7,5,9,Complete trust,6,7,7,8
123414,DK,8,8,Complete trust,8,6,5,6,8
123440,DK,8,9,9,9,8,6,8,9
123452,DK,5,3,8,8,1,2,Don't know,7
123466,DK,8,7,8,9,5,5,5,5
123521,DK,8,8,7,7,8,7,5,8
123534,DK,6,8,9,9,8,6,2,8
123613,DK,8,7,9,9,5,7,6,7
123620,DK,8,5,8,8,4,4,5,6
123647,DK,5,Complete trust,Complete trust,Complete trust,Complete trust,Complete trust,Complete trust,Complete trust
123649,DK,2,7,7,8,5,5,3,3
123743,DK,9,5,8,9,4,4,7,7
