idno,cntry,ppltrst,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun
137033,DK,6,5,6,4,4,6,3,4
137116,DK,8,8,9,9,6,7,6,8
137141,DK,8,8,Complete trust,9,7,7,8,8
137220,DK,8,4,7,9,3,4,4,7
137226,DK,8,5,6,7,6,6,5,7
137237,DK,5,8,4,Complete trust,8,8,8,Complete trust
137434,DK,8,5,8,8,5,5,6,7
137455,DK,5,No trust at all,3,8,No trust at all,No trust at all,No trust at all,Don't know
137482,DK,Most people can be trusted,9,9,9,9,9,9,5
137500,DK,4,6,7,8,5,5,Don't know,7
137618,DK,8,7,Complete trust,Complete trust,6,7,7,8
137712,DK,8,7,Complete trust,Complete trust,4,4,5,6
137715,DK,7,Complete trust,Complete trust,Complete trust,Complete trust,Complete trust,8,6
137723,DK,6,2,9,2,3,7,3,9
137738,DK,2,2,6,8,3,3,Don't know,Don't know
137864,DK,7,8,8,9,7,7,7,7
137906,DK,5,4,8,7,4,4,6,7
137972,DK,7,8,Complete trust,8,4,7,7,7
138036,DK,4,6,7,8,6,7,8,7
138097,DK,8,5,9,9,3,3,3,5
138187,DK,8,6,8,5,6,4,6,8
138204,DK,9,6,9,8,8,8,8,8
138302,DK,5,7,8,9,5,4,5,8
138400,DK,4,3,8,6,3,3,4,5
138455,DK,8,5,8,8,3,3,4,6
138500,DK,7,6,7,Complete trust,8,8,6,Complete trust
138508,DK,9,5,9,Complete trust,7,6,3,7
138600,DK,7,8,8,8,7,7,6,7
138604,DK,7,7,9,9,6,6,6,7
138606,DK,7,6,8,8,3,3,3,7
138629,DK,9,8,9,Complete trust,7,7,8,5
138650,DK,7,8,8,Complete trust,7,7,8,Complete trust
138749,DK,7,7,9,8,6,4,7,6
138758,DK,6,6,9,9,6,6,4,8
138761,DK,9,9,9,9,7,6,6,5
138770,DK,8,7,9,Complete trust,5,4,2,3
138834,DK,8,6,8,9,6,7,7,7
138846,DK,8,5,8,7,3,4,3,4
138878,DK,Most people can be trusted,Complete trust,Complete trust,Complete trust,8,8,8,Complete trust
138910,DK,7,2,6,7,3,3,4,4
138933,DK,6,8,8,8,8,8,3,3
138958,DK,3,7,8,8,6,7,5,6
138992,DK,Most people can be trusted,9,Complete trust,Complete trust,9,8,9,Complete trust
139028,DK,5,8,8,9,8,6,Don't know,8
139040,DK,6,3,3,3,2,3,1,3
139044,DK,6,4,8,Complete trust,2,5,Don't know,Don't know
139061,DK,6,7,7,7,4,5,4,4
139144,DK,9,8,8,9,6,7,4,3
139235,DK,8,8,9,8,7,7,6,7
139281,DK,5,3,6,7,3,3,3,5
139291,DK,Don't know,4,5,5,8,Don't know,4,4
139292,DK,Most people can be trusted,6,Complete trust,8,4,4,7,9
139298,DK,8,6,9,9,7,7,6,9
139371,DK,8,5,8,8,7,7,5,7
139417,DK,3,2,2,No trust at all,2,2,2,1
139441,DK,5,7,9,8,4,7,9,9
139482,DK,8,8,Complete trust,Complete trust,7,7,8,Complete trust
139504,DK,6,5,7,8,6,6,5,6
139543,DK,6,3,3,4,1,2,3,1
139546,DK,9,Complete trust,Complete trust,Complete trust,9,Complete trust,9,Complete trust
139560,DK,Most people can be trusted,9,9,9,7,7,7,7
139577,DK,5,5,4,3,2,4,4,5
139592,DK,9,9,9,Complete trust,8,7,5,4
139612,DK,7,1,8,8,1,1,3,3
139638,DK,7,8,7,8,8,7,8,8
139681,DK,6,8,9,9,7,5,5,5
139814,DK,5,6,6,8,6,5,8,Don't know
139829,DK,9,8,9,7,2,5,2,8
140091,DK,8,6,9,8,6,6,5,6
140234,DK,9,8,9,Complete trust,8,9,Complete trust,9
140278,DK,3,3,6,8,2,2,5,7
140289,DK,6,5,6,7,5,7,5,7
140312,DK,9,8,Complete trust,8,8,8,7,5
140321,DK,8,8,Complete trust,9,5,7,7,9
140438,DK,5,8,7,5,5,5,4,4
140448,DK,7,6,8,9,6,7,7,7
140504,DK,8,5,8,Complete trust,4,4,5,8
140523,DK,7,8,7,8,7,6,3,3
140616,DK,8,5,8,9,5,5,5,5
140618,DK,7,3,8,7,2,2,5,7
140647,DK,5,3,5,7,2,2,4,4
140757,DK,7,7,9,9,6,7,7,7
140843,DK,8,8,9,9,6,7,8,8
140856,DK,6,8,9,8,2,3,2,8
140902,DK,8,7,9,9,7,7,8,8
140989,DK,9,7,8,7,7,7,7,8
141006,DK,6,7,7,8,6,5,8,7
141130,DK,9,Complete trust,Complete trust,Complete trust,7,7,Don't know,Don't know
141142,DK,2,7,Complete trust,Complete trust,4,4,4,9
141227,DK,8,9,Complete trust,9,9,7,6,6
141387,DK,5,No trust at all,5,7,No trust at all,No trust at all,Don't know,2
141398,DK,2,3,No trust at all,No trust at all,3,3,3,3
141508,DK,9,Complete trust,Complete trust,8,7,7,8,8
141541,DK,4,8,Complete trust,Complete trust,Don't know,5,Don't know,6
141564,DK,8,5,6,7,5,5,5,7
141583,DK,5,5,8,8,2,2,5,5
141627,DK,7,7,8,8,6,6,5,7
141630,DK,6,7,7,9,7,5,6,6
141665,DK,6,6,9,9,6,6,4,8
141865,DK,Most people can be trusted,6,Complete trust,7,5,5,5,9
141890,DK,7,7,9,9,6,5,5,Complete trust
141902,DK,6,5,8,6,4,5,8,8
141952,DK,8,6,7,7,7,5,4,5
142009,DK,8,7,7,8,8,7,2,2
142013,DK,9,2,6,8,2,1,2,6
142072,DK,8,5,9,9,5,6,7,7
142096,DK,9,3,4,6,3,3,Don't know,8
142110,DK,7,8,9,9,8,8,4,7
142203,DK,7,5,5,5,5,5,3,No trust at all
142210,DK,7,7,9,9,5,5,3,8
142291,DK,6,6,8,8,5,5,3,5
142311,DK,7,7,8,8,6,6,6,6
142419,DK,6,4,6,Complete trust,4,4,6,6
142473,DK,3,7,5,8,6,7,8,6
142527,DK,7,8,9,Complete trust,8,8,5,5
142588,DK,6,8,9,9,6,7,3,8
142704,DK,3,6,9,Complete trust,6,7,7,8
142781,DK,Most people can be trusted,6,6,7,6,6,6,8
142788,DK,8,8,9,7,6,5,5,8
142803,DK,8,7,7,9,7,7,6,8
142894,DK,6,7,Complete trust,9,5,8,7,9
142986,DK,7,7,5,7,5,4,4,4
143058,DK,5,6,9,9,4,4,6,7
143079,DK,4,No trust at all,5,7,2,4,No trust at all,No trust at all
143081,DK,7,8,9,9,7,5,5,7
143095,DK,2,3,3,5,8,2,Don't know,Don't know
143183,DK,5,8,7,Complete trust,6,8,8,6
143205,DK,Most people can be trusted,4,9,9,4,6,4,7
143219,DK,8,1,9,9,4,7,9,9
143260,DK,4,5,5,6,3,3,Don't know,6
143387,DK,8,4,6,8,5,5,2,2
143403,DK,4,5,8,8,6,5,5,8
143407,DK,9,2,9,9,1,1,No trust at all,5
143522,DK,9,9,Complete trust,Complete trust,6,8,8,9
143560,DK,9,8,9,Complete trust,5,5,5,5
143609,DK,8,6,8,7,6,6,6,7
143622,DK,7,7,8,8,7,7,7,7
143817,DK,Most people can be trusted,Complete trust,Complete trust,9,7,7,6,6
143857,DK,5,7,7,7,7,7,5,7
143892,DK,8,9,Complete trust,9,6,4,6,7
143903,DK,Most people can be trusted,3,9,8,3,3,5,6
143993,DK,7,4,7,6,2,3,2,5
144010,DK,7,7,8,7,6,6,6,5
144039,DK,8,5,8,8,4,4,3,7
144060,DK,7,8,Complete trust,9,7,7,8,9
144065,DK,4,3,5,7,3,4,5,5
144094,DK,5,6,9,9,4,6,Don't know,Don't know
144155,DK,8,9,9,Complete trust,7,8,8,7
144172,DK,8,5,3,9,5,4,5,9
144192,DK,2,7,7,8,4,4,Don't know,9
144284,DK,8,3,7,7,3,3,3,5
144424,DK,6,4,5,5,4,4,2,4
144517,DK,9,5,8,8,7,7,6,8
144586,DK,8,Complete trust,7,7,3,2,No trust at all,5
144663,DK,7,7,9,8,7,7,7,6
144679,DK,9,6,6,8,5,5,5,5
144719,DK,4,4,5,7,6,3,Don't know,Don't know
144755,DK,8,4,5,6,6,6,5,5
144767,DK,7,5,8,7,5,5,6,7
144812,DK,8,8,9,Complete trust,6,5,5,8
144830,DK,7,No trust at all,5,6,2,No trust at all,No trust at all,No trust at all
144896,DK,7,4,8,8,4,5,6,8
144911,DK,8,5,8,9,5,5,Don't know,Don't know
145037,DK,9,6,9,8,5,5,6,8
145054,DK,6,7,8,8,6,6,6,7
145076,DK,7,9,7,9,5,5,7,Complete trust
145089,DK,8,5,8,7,2,2,5,6
145117,DK,9,4,7,8,4,4,7,9
145163,DK,7,7,9,Complete trust,6,6,5,5
145216,DK,8,8,8,8,7,7,8,9
145218,DK,Most people can be trusted,6,6,Complete trust,5,6,Don't know,5
145272,DK,8,8,9,9,7,7,7,7
145296,DK,7,8,8,9,6,5,8,9
145317,DK,6,3,5,8,8,3,9,5
145351,DK,7,4,8,8,6,5,5,8
145374,DK,4,4,7,5,3,3,2,4
145391,DK,8,8,9,9,6,7,4,7
145410,DK,9,Complete trust,9,9,9,8,No trust at all,No trust at all
145567,DK,5,7,4,9,5,4,3,3
145688,DK,9,7,7,9,6,6,6,8
145702,DK,9,5,9,9,5,5,1,1
145749,DK,7,5,8,9,5,5,5,5
145866,DK,8,9,Complete trust,Complete trust,7,8,7,6
146100,DK,6,3,7,8,3,3,3,5
146252,DK,7,7,3,9,7,7,3,3
146261,DK,5,7,3,2,4,5,3,5
146279,DK,2,7,8,8,3,3,5,7
146280,DK,8,4,8,8,2,4,No trust at all,7
146315,DK,5,6,7,6,6,6,7,Don't know
146339,DK,8,7,8,9,6,7,6,7
146395,DK,7,8,8,9,7,8,9,9
146400,DK,2,No trust at all,3,6,No trust at all,No trust at all,No trust at all,No trust at all
146447,DK,7,8,6,6,8,8,7,6
146464,DK,2,7,6,6,6,5,6,4
146522,DK,8,8,9,9,7,5,7,9
146578,DK,Most people can be trusted,5,8,7,2,2,2,6
146648,DK,8,6,9,9,4,5,4,7
146689,DK,6,3,3,5,2,2,4,5
146703,DK,7,6,9,Complete trust,5,5,7,8
146709,DK,7,6,7,8,5,6,6,Don't know
146743,DK,7,9,9,Complete trust,4,5,7,9
146912,DK,7,7,9,Complete trust,5,5,5,7
147051,DK,9,6,8,8,5,6,8,9
147115,DK,Most people can be trusted,7,9,9,6,7,5,7
147180,DK,8,8,Complete trust,9,7,7,5,5
147254,DK,8,7,9,7,5,5,6,7
147357,DK,8,5,Complete trust,Complete trust,2,2,No trust at all,7
147364,DK,5,8,9,Complete trust,6,7,No trust at all,4
147453,DK,7,3,4,3,2,3,5,3
147486,DK,5,1,1,Complete trust,7,7,5,3
147490,DK,7,5,9,8,6,7,3,6
147509,DK,3,2,5,7,1,4,5,5
147519,DK,3,3,Don't know,2,No trust at all,2,Don't know,Don't know
147628,DK,7,5,5,5,5,3,3,5
147645,DK,9,8,Complete trust,9,8,7,7,9
147808,DK,5,5,9,Complete trust,5,5,7,9
147866,DK,8,7,Complete trust,Complete trust,5,5,6,7
148003,DK,6,3,4,5,3,3,3,5
148030,DK,9,9,9,9,8,6,8,8
148039,DK,6,5,4,6,5,6,4,6
148075,DK,8,7,8,8,6,6,8,7
148117,DK,4,1,5,8,1,1,No trust at all,4
148123,DK,6,4,8,8,3,5,3,3
148189,DK,8,9,Complete trust,Complete trust,8,8,8,8
148214,DK,8,8,9,9,7,8,6,8
148217,DK,9,9,8,7,6,7,5,6
148303,DK,7,6,8,9,7,4,4,4
148376,DK,4,5,5,5,2,2,No trust at all,7
148415,DK,5,6,8,7,7,6,6,8
148416,DK,8,8,8,9,8,8,8,8
148492,DK,8,7,8,8,6,5,6,9
148618,DK,8,8,5,Complete trust,7,Complete trust,Complete trust,Complete trust
148667,DK,5,3,5,4,1,1,2,3
148744,DK,5,3,6,8,3,2,2,5
148758,DK,8,5,7,8,5,5,6,6
148779,DK,5,5,7,8,1,2,2,2
148821,DK,8,2,8,Complete trust,2,3,No trust at all,5
148837,DK,5,7,9,8,7,7,8,9
148848,DK,8,5,9,9,4,5,3,8
148922,DK,8,3,No trust at all,Complete trust,2,2,2,3
148933,DK,8,8,8,8,7,4,4,8
149006,DK,Most people can be trusted,6,7,8,5,4,6,8
149017,DK,6,7,9,8,5,5,5,7
149045,DK,6,1,2,3,1,1,No trust at all,3
149134,DK,9,7,9,7,6,5,Don't know,8
149167,DK,7,2,8,7,4,3,1,1
149176,DK,5,4,3,Complete trust,2,2,2,2
149242,DK,Most people can be trusted,3,6,5,2,2,2,4
149262,DK,Most people can be trusted,4,6,8,6,5,2,3
149313,DK,3,7,9,4,2,2,1,6
149374,DK,8,2,8,4,2,2,4,8
149443,DK,6,7,7,5,Don't know,Don't know,8,8
149475,DK,5,5,7,9,5,5,5,6
149542,DK,8,6,8,8,3,3,5,5
149562,DK,8,7,9,6,3,2,7,5
149589,DK,5,3,6,8,2,1,3,Don't know
149671,DK,9,8,9,9,8,7,7,8
149717,DK,8,8,3,9,5,6,5,9
149795,DK,8,Complete trust,8,Complete trust,7,7,5,8
149835,DK,4,2,6,9,1,2,No trust at all,7
149856,DK,7,9,7,8,6,6,6,4
149977,DK,8,6,9,9,5,4,6,8
150131,DK,Most people can be trusted,6,8,8,6,6,5,8
150359,DK,8,5,Complete trust,9,5,2,5,8
150390,DK,7,8,7,8,6,6,7,8
150446,DK,4,8,7,Complete trust,Don't know,Don't know,Don't know,Don't know
