,ipnr17,v57,v58,v59,v60,v61,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v184,v185,v186,v187,v188,v189,v190,v191,v192,v193,v194,v195,v196,v197,v198,v209,v210,v211,v212,v213,v214,v215,v216,v217,v218,v219,v220,v221,v222,v223,v224
10,FU167527,Ja,Ja,Ja,Ja,Nej,Slet ingen tillid,Meget stor tillid,Ikke særlig stor tillid,Slet ingen tillid,Slet ingen tillid,Meget stor tillid,Slet ingen tillid,Meget stor tillid,Meget stor tillid,Slet ingen tillid,Slet ingen tillid,Meget stor tillid,Meget stor tillid,Ikke særlig stor tillid,Meget stor tillid,Slet ingen tillid,Slet ingen tillid,Slet ingen tillid,Meget godt,10. Indvandrere tager ikke jobs fra danskere,10. Indvandrere gør ikke problemerne med kriminalitet værre,10. Indvandrere belaster ikke velfærdssystemet,1. Samfundet er bedst tjent med at indvandrere fastholder deres egne skikke og t,Meget vigtigt,Temmelig vigtigt,Slet ikke vigtigt,Slet ikke vigtigt,Slet ikke vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Slet ikke vigtigt,Slet ikke vigtigt,10. Udvidelsen er gået for vidt,Aldrig,Aldrig,Aldrig,I høj grad,I høj grad,I høj grad,I høj grad,I høj grad,I høj grad,I høj grad,I høj grad,I høj grad,Meget vigtigt,Meget vigtigt,Nægter at svare,Meget vigtigt
11,CZ713357,Nej,Nej,Nej,Nej,Nej,Meget stor tillid,Meget stor tillid,Meget stor tillid,Ret stor tillid,Ret stor tillid,Meget stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Meget stor tillid,Ret stor tillid,Meget stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Temmelig dårligt,4.,2.,2.,9.,Temmelig vigtigt,Meget vigtigt,Ikke særlig vigtigt,Meget vigtigt,Meget vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,3.,Flere gange om ugen,Sjældent,Sjældent,Til en vis grad,Til en vis grad,I høj grad,I nogen grad,I nogen grad,I nogen grad,I nogen grad,I nogen grad,I nogen grad,Slet ikke vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt
12,FU320813,Ja,Ja,Nej,Nej,Ja,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Slet ingen tillid,Ret stor tillid,Meget stor tillid,Meget stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Temmelig dårligt,10. Indvandrere tager ikke jobs fra danskere,1. Indvandrere gør problemerne med kriminalitet værre,1. Indvandrere belaster velfærdssystemet,"10. Samfundet er bedst tjent med, at indvandrere ikke fastholder deres skikke og",Ikke særlig vigtigt,Meget vigtigt,Temmelig vigtigt,Meget vigtigt,Meget vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,1. Udvidelsen skal fortsætte,Aldrig,Aldrig,Sjældent,Slet ikke,Slet ikke,Slet ikke,Slet ikke,Slet ikke,Slet ikke,Slet ikke,Slet ikke,Slet ikke,Slet ikke vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt
13,CZ815476,Ja,Ja,Ja,Ja,Nej,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Meget dårligt,9.,10. Indvandrere gør ikke problemerne med kriminalitet værre,10. Indvandrere belaster ikke velfærdssystemet,"10. Samfundet er bedst tjent med, at indvandrere ikke fastholder deres skikke og",Meget vigtigt,Meget vigtigt,Ikke særlig vigtigt,Meget vigtigt,Temmelig vigtigt,Meget vigtigt,Slet ikke vigtigt,Slet ikke vigtigt,Ikke særlig vigtigt,10. Udvidelsen er gået for vidt,Sjældent,Sjældent,Sjældent,I nogen grad,I nogen grad,Til en vis grad,I mindre grad,I mindre grad,I nogen grad,I høj grad,I høj grad,I høj grad,Meget vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt
14,CZ418145,Ja,Ja,Nej,Nej,Nej,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Meget stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Meget stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Slet ingen tillid,Hverken godt eller dårligt,9.,5.,5.,5.,Ikke særlig vigtigt,Meget vigtigt,Slet ikke vigtigt,Meget vigtigt,Temmelig vigtigt,Slet ikke vigtigt,Slet ikke vigtigt,Slet ikke vigtigt,Meget vigtigt,2.,Flere gange om ugen,Sjældent,Flere gange om ugen,Til en vis grad,Til en vis grad,I høj grad,I høj grad,I høj grad,I høj grad,I høj grad,I høj grad,I høj grad,Ikke særlig vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt
15,FU733591,Ja,Nej,Nej,Nej,Nej,Ret stor tillid,Meget stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Meget stor tillid,Ikke særlig stor tillid,Ret stor tillid,Meget stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Meget stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Temmelig godt,5.,4.,3.,3.,Temmelig vigtigt,Meget vigtigt,Temmelig vigtigt,Meget vigtigt,Meget vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,Temmelig vigtigt,3.,Aldrig,Sjældent,En eller to gange om ugen,Til en vis grad,I mindre grad,I mindre grad,I mindre grad,I mindre grad,Til en vis grad,I mindre grad,Til en vis grad,I nogen grad,Temmelig vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt
16,FU508450,Ja,Ja,Nægter at svare,Nægter at svare,Nej,Nægter at svare,Nægter at svare,Ret stor tillid,Nægter at svare,Nægter at svare,Ret stor tillid,Nægter at svare,Nægter at svare,Nægter at svare,Nægter at svare,Nægter at svare,Ikke særlig stor tillid,Nægter at svare,Nægter at svare,Nægter at svare,Nægter at svare,Nægter at svare,Ikke særlig stor tillid,Hverken godt eller dårligt,6.,5.,5.,7.,Ikke særlig vigtigt,Meget vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Meget vigtigt,5.,Sjældent,Sjældent,Sjældent,Nægter at svare,Nægter at svare,Nægter at svare,Nægter at svare,Nægter at svare,I nogen grad,I nogen grad,Til en vis grad,I nogen grad,Ikke særlig vigtigt,Temmelig vigtigt,Meget vigtigt,Meget vigtigt
17,FU321480,Nej,Nej,Nej,Nej,Nej,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Slet ingen tillid,Slet ingen tillid,Slet ingen tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Temmelig dårligt,10. Indvandrere tager ikke jobs fra danskere,1. Indvandrere gør problemerne med kriminalitet værre,1. Indvandrere belaster velfærdssystemet,8.,Meget vigtigt,Meget vigtigt,Ikke særlig vigtigt,Meget vigtigt,Temmelig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,10. Udvidelsen er gået for vidt,En eller to gange om ugen,Sjældent,Hver dag,Til en vis grad,Til en vis grad,Til en vis grad,I mindre grad,Til en vis grad,I nogen grad,Til en vis grad,I mindre grad,I høj grad,Slet ikke vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt
18,FU848509,Ja,Ja,Nej,Ja,Ja,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Slet ingen tillid,Slet ingen tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Slet ingen tillid,Slet ingen tillid,Slet ingen tillid,Slet ingen tillid,Hverken godt eller dårligt,10. Indvandrere tager ikke jobs fra danskere,1. Indvandrere gør problemerne med kriminalitet værre,1. Indvandrere belaster velfærdssystemet,6.,Meget vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,10. Udvidelsen er gået for vidt,Sjældent,Flere gange om ugen,Sjældent,I mindre grad,I mindre grad,Til en vis grad,I mindre grad,Til en vis grad,I nogen grad,Til en vis grad,I mindre grad,I høj grad,Temmelig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Meget vigtigt
19,FU474662,Ja,Ja,Nej,Nej,Ja,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Slet ingen tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Slet ingen tillid,Slet ingen tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Slet ingen tillid,Slet ingen tillid,Nægter at svare,8.,4.,4.,7.,Temmelig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,5.,Sjældent,En eller to gange om ugen,Sjældent,I nogen grad,I nogen grad,I nogen grad,I nogen grad,I nogen grad,I nogen grad,I nogen grad,I nogen grad,I nogen grad,Meget vigtigt,Meget vigtigt,Meget vigtigt,Temmelig vigtigt
