idno,cntry,ppltrst,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,prtvtddk,gndr,agea,edlvddk,infqbst,grspnum,region
124256,DK,9,8,8,8,5,6,6,8,Det Radikale Venstre - The Radical Liberal Party,Female,41,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,56000,Nordjylland
124453,DK,4,2,5,10,0,0,5,2,,Female,28,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Sjælland
124470,DK,8,9,10,10,9,9,8,8,Socialdemokratiet - The Social democrats,Female,24,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,,Syddanmark
124709,DK,5,4,4,6,7,8,6,4,Socialdemokratiet - The Social democrats,Male,53,Folkeskole 9.-10. klasse,Monthly,40000,Midtjylland
124713,DK,6,5,6,2,4,4,3,3,,Male,40,Folkeskole 9.-10. klasse,Monthly,23000,Nordjylland
124899,DK,8,7,9,9,7,8,7,8,"Venstre, Danmarks Liberale Parti - The Liberal Party",Female,46,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,46500,Midtjylland
125013,DK,8,7,9,7,6,8,5,9,Socialdemokratiet - The Social democrats,Male,58,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Weekly,7500,Sjælland
125022,DK,8,9,9,10,1,1,0,7,"Venstre, Danmarks Liberale Parti - The Liberal Party",Female,46,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,37000,Syddanmark
125039,DK,7,6,8,8,5,5,4,5,Det Radikale Venstre - The Radical Liberal Party,Male,71,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Annual,500000,Sjælland
125046,DK,8,6,8,8,6,6,6,8,SF Socialistisk Folkeparti - Socialist People's Party,Female,61,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,,Syddanmark
125067,DK,5,4,6,8,3,5,5,6,,Male,36,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,12000,Hovedstaden
125101,DK,8,8,9,10,7,7,7,7,Det Radikale Venstre - The Radical Liberal Party,Female,26,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,27700,Syddanmark
125152,DK,5,0,0,8,3,0,0,5,"Venstre, Danmarks Liberale Parti - The Liberal Party",Female,67,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Annual,,Sjælland
125249,DK,7,8,10,9,8,8,6,8,Dansk Folkeparti - Danish People's Party,Male,22,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",Monthly,,Midtjylland
125278,DK,8,9,9,9,8,8,8,9,Dansk Folkeparti - Danish People's Party,Male,75,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Syddanmark
125320,DK,8,5,8,6,5,6,7,9,Det Radikale Venstre - The Radical Liberal Party,Male,53,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,41000,Sjælland
125351,DK,7,7,7,9,7,7,7,8,,Female,76,Folkeskole 6.-8. klasse,Monthly,,Sjælland
125381,DK,7,9,8,6,8,8,0,6,Socialdemokratiet - The Social democrats,Male,86,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,,Sjælland
125417,DK,8,7,10,9,5,5,5,7,Socialdemokratiet - The Social democrats,Male,68,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",Monthly,,Midtjylland
125538,DK,6,4,6,8,3,3,5,5,Dansk Folkeparti - Danish People's Party,Female,39,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",Monthly,26000,Midtjylland
125605,DK,7,5,7,8,3,5,6,8,Socialdemokratiet - The Social democrats,Female,64,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Annual,,Hovedstaden
125611,DK,9,7,9,10,6,6,8,9,,Male,29,Other,,,Hovedstaden
125620,DK,9,9,10,10,6,5,5,9,"Venstre, Danmarks Liberale Parti - The Liberal Party",Male,71,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,,Syddanmark
125623,DK,8,7,8,8,7,7,6,8,Socialdemokratiet - The Social democrats,Female,64,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Midtjylland
125686,DK,5,3,7,7,2,4,4,4,"Venstre, Danmarks Liberale Parti - The Liberal Party",Male,61,Folkeskole 9.-10. klasse,Monthly,33000,Nordjylland
125722,DK,6,8,9,8,4,3,7,8,Alternativet - The Alternative,Male,56,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,86000,Sjælland
125768,DK,8,8,8,7,7,7,6,8,"Venstre, Danmarks Liberale Parti - The Liberal Party",Female,41,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Annual,800000,Sjælland
125805,DK,10,,8,8,6,,8,8,Socialdemokratiet - The Social democrats,Male,70,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,,Sjælland
125812,DK,8,8,9,10,8,7,5,8,Dansk Folkeparti - Danish People's Party,Male,43,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",Monthly,34000,Syddanmark
125954,DK,5,5,8,8,4,4,2,6,Socialdemokratiet - The Social democrats,Female,73,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,,Nordjylland
125978,DK,6,7,9,10,5,5,5,7,Dansk Folkeparti - Danish People's Party,Male,57,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",Monthly,31400,Sjælland
126175,DK,7,4,8,7,8,8,8,7,,Female,39,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,26000,Midtjylland
126195,DK,5,7,9,7,4,6,7,3,,Female,20,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,10000,Nordjylland
126234,DK,8,7,8,9,6,6,7,7,,Female,19,Folkeskole 9.-10. klasse,Monthly,7000,Syddanmark
126257,DK,8,8,9,9,6,6,5,8,,Female,56,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,,Nordjylland
126325,DK,9,8,8,8,8,8,6,6,"Venstre, Danmarks Liberale Parti - The Liberal Party",Female,83,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Nordjylland
126351,DK,9,8,9,7,7,7,5,5,Liberal Alliance - Liberal Alliance,Male,27,Universitetsbachelor. 1. del af kandidatuddannelse,Monthly,30000,Hovedstaden
