idno,cntry,ppltrst,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,prtvtddk,gndr,agea,edlvddk,infqbst,grspnum,region
110,DK,8,8,10,10,7,8,5,8,Socialdemokratiet - The Social democrats,Male,69,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",,,Midtjylland
705,DK,5,6,8,9,3,3,4,1,Det Konservative Folkeparti - Conservative People's Party,Male,60,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Annual,,Nordjylland
1327,DK,5,7,5,2,5,6,,,,Male,18,Folkeskole 9.-10. klasse,,,Sjælland
3760,DK,7,5,9,9,5,5,5,8,,Male,16,Folkeskole 9.-10. klasse,Weekly,200,Midtjylland
4658,DK,8,8,8,8,6,6,3,,,Female,62,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Annual,,Sjælland
5816,DK,7,5,6,6,4,6,3,7,SF Socialistisk Folkeparti - Socialist People's Party,Male,44,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,37000,Hovedstaden
7251,DK,5,5,6,8,5,4,7,6,Dansk Folkeparti - Danish People's Party,Female,43,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,22000,Sjælland
7887,DK,8,8,9,8,8,8,6,6,Socialdemokratiet - The Social democrats,Male,60,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,36000,Midtjylland
9607,DK,9,9,10,9,7,7,7,7,Alternativet - The Alternative,Female,54,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,32000,Midtjylland
11123,DK,7,4,9,8,3,6,5,7,Socialdemokratiet - The Social democrats,Male,44,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Weekly,9000,Nordjylland
11688,DK,5,10,7,10,7,7,4,4,Socialdemokratiet - The Social democrats,Female,66,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Nordjylland
12355,DK,5,5,6,8,4,5,,4,Socialdemokratiet - The Social democrats,Male,55,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,36000,Syddanmark
16357,DK,5,3,3,4,4,4,4,5,Dansk Folkeparti - Danish People's Party,Male,27,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,40000,Syddanmark
17504,DK,4,5,6,8,5,5,8,8,Dansk Folkeparti - Danish People's Party,Female,34,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Syddanmark
19970,DK,9,7,9,9,8,8,8,8,Liberal Alliance - Liberal Alliance,Female,52,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,85000,Midtjylland
20724,DK,5,5,6,7,4,4,4,6,"Venstre, Danmarks Liberale Parti - The Liberal Party",Male,60,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,28000,Nordjylland
22248,DK,9,7,9,9,5,7,5,6,Socialdemokratiet - The Social democrats,Female,68,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,,Hovedstaden
24928,DK,8,6,3,3,5,5,5,5,"Venstre, Danmarks Liberale Parti - The Liberal Party",Male,53,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,50000,Syddanmark
27000,DK,5,8,9,9,7,6,6,8,"Venstre, Danmarks Liberale Parti - The Liberal Party",Male,62,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,90000,Midtjylland
27211,DK,7,7,9,8,7,6,6,7,Kristendemokraterne - Christian Democrats,Male,49,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,26000,Sjælland
27650,DK,7,5,5,5,5,5,4,5,,Male,51,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Weekly,7000,Hovedstaden
28202,DK,7,4,6,3,6,3,5,5,Det Radikale Venstre - The Radical Liberal Party,Male,28,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,28000,Syddanmark
29156,DK,8,9,10,9,6,6,8,9,Dansk Folkeparti - Danish People's Party,Male,86,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Nordjylland
29471,DK,8,9,9,9,7,7,6,9,Det Radikale Venstre - The Radical Liberal Party,Male,52,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,40000,Syddanmark
31317,DK,6,5,7,8,5,5,4,5,"Venstre, Danmarks Liberale Parti - The Liberal Party",Female,70,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,,Nordjylland
32191,DK,8,5,8,6,3,3,3,5,Socialdemokratiet - The Social democrats,Female,62,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,34500,Midtjylland
33174,DK,9,9,9,9,8,8,8,9,Alternativet - The Alternative,Male,69,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,,Sjælland
33307,DK,7,7,8,8,4,4,3,2,,Male,27,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,,Midtjylland
34031,DK,8,7,9,9,6,6,7,9,Det Konservative Folkeparti - Conservative People's Party,Male,31,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",,,Syddanmark
34446,DK,8,7,9,10,6,6,8,9,"Venstre, Danmarks Liberale Parti - The Liberal Party",Female,43,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,25000,Sjælland
34955,DK,6,5,6,6,5,5,6,6,Socialdemokratiet - The Social democrats,Female,55,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,33000,Midtjylland
38221,DK,7,7,9,9,6,6,6,8,Socialdemokratiet - The Social democrats,Female,36,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,24000,Sjælland
38848,DK,9,9,10,10,9,8,5,8,Socialdemokratiet - The Social democrats,Female,39,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,21000,Sjælland
38971,DK,6,8,6,4,8,8,,,Dansk Folkeparti - Danish People's Party,Male,38,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,44000,Sjælland
39619,DK,8,8,7,7,5,8,5,8,Socialdemokratiet - The Social democrats,Male,76,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Hovedstaden
40317,DK,6,3,6,8,2,3,4,6,Det Konservative Folkeparti - Conservative People's Party,Male,29,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Weekly,6000,Sjælland
40476,DK,7,5,9,9,5,3,7,8,Other,Female,20,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",,,Sjælland
42274,DK,8,8,8,9,7,7,7,7,,Female,63,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,38500,Midtjylland
44490,DK,9,8,9,10,6,6,8,5,Det Radikale Venstre - The Radical Liberal Party,Female,36,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,42000,Midtjylland
46190,DK,6,3,10,7,3,3,2,5,"Venstre, Danmarks Liberale Parti - The Liberal Party",Male,51,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,37000,Hovedstaden
46404,DK,8,8,9,9,7,7,6,8,,Male,53,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,92000,Nordjylland
46606,DK,8,8,9,9,5,6,4,8,Alternativet - The Alternative,Female,25,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,10000,Midtjylland
47316,DK,7,10,10,10,6,6,7,10,,Female,20,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",,,Midtjylland
48773,DK,9,9,8,8,7,7,6,6,Socialdemokratiet - The Social democrats,Female,67,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",,,Sjælland
49450,DK,8,6,9,9,5,5,7,5,SF Socialistisk Folkeparti - Socialist People's Party,Male,31,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,24000,Sjælland
50526,DK,7,2,5,8,4,4,4,4,,Female,76,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,,Syddanmark
52559,DK,6,5,3,4,5,4,7,8,,Female,17,Folkeskole 9.-10. klasse,,,Syddanmark
53574,DK,9,8,10,10,5,8,8,10,Socialdemokratiet - The Social democrats,Male,25,Universitetsbachelor. 1. del af kandidatuddannelse,Monthly,14000,Midtjylland
55481,DK,8,7,4,8,6,6,7,7,,Female,34,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,39000,Hovedstaden
56690,DK,2,5,7,10,6,5,5,8,Det Konservative Folkeparti - Conservative People's Party,Female,78,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,,Hovedstaden
58403,DK,8,5,9,9,6,5,3,7,Alternativet - The Alternative,Male,63,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Annual,450000,Sjælland
59410,DK,8,9,9,7,8,7,8,8,Dansk Folkeparti - Danish People's Party,Male,50,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,30000,Nordjylland
59841,DK,8,5,7,9,4,4,4,6,Alternativet - The Alternative,Female,46,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,45000,Midtjylland
61995,DK,6,6,7,7,5,5,5,5,Socialdemokratiet - The Social democrats,Female,41,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,19500,Midtjylland
62055,DK,2,4,10,10,5,5,5,7,,Female,83,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,,Sjælland
62232,DK,5,7,10,10,3,3,0,2,Dansk Folkeparti - Danish People's Party,Male,76,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,,Syddanmark
62601,DK,8,6,8,8,7,6,5,7,Socialdemokratiet - The Social democrats,Female,57,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,28000,Midtjylland
63738,DK,5,6,7,9,2,2,2,8,"Venstre, Danmarks Liberale Parti - The Liberal Party",Male,36,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,45000,Syddanmark
64617,DK,8,7,8,8,7,7,,,Socialdemokratiet - The Social democrats,Female,27,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Syddanmark
66405,DK,7,6,8,8,4,4,5,7,Socialdemokratiet - The Social democrats,Male,69,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Syddanmark
66500,DK,10,5,10,10,5,2,,,Socialdemokratiet - The Social democrats,Male,38,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,31000,Syddanmark
66561,DK,8,8,9,9,8,8,8,8,Socialdemokratiet - The Social democrats,Male,61,Folkeskole 9.-10. klasse,Monthly,35000,Sjælland
68174,DK,7,4,10,10,6,10,0,6,Dansk Folkeparti - Danish People's Party,Male,84,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Nordjylland
68781,DK,9,6,9,8,3,4,6,8,SF Socialistisk Folkeparti - Socialist People's Party,Female,73,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,,Syddanmark
69758,DK,3,2,4,0,5,5,3,7,,Male,51,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,34000,Syddanmark
75245,DK,7,4,2,3,3,3,3,6,Dansk Folkeparti - Danish People's Party,Male,33,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,50000,Hovedstaden
75287,DK,8,5,9,9,6,6,,,,Male,23,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,,Syddanmark
75328,DK,8,9,10,9,6,7,7,8,Det Radikale Venstre - The Radical Liberal Party,Female,40,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,,Midtjylland
75393,DK,9,8,7,10,7,5,7,8,Liberal Alliance - Liberal Alliance,Male,77,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Annual,,Syddanmark
75408,DK,7,8,9,9,6,5,7,9,,Male,17,Folkeskole 9.-10. klasse,Monthly,0,Syddanmark
75478,DK,7,7,5,8,5,6,7,7,,Female,20,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,6000,Nordjylland
75552,DK,6,6,10,7,5,5,5,7,,Male,29,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,35000,Midtjylland
75748,DK,7,6,7,7,6,6,6,7,Socialdemokratiet - The Social democrats,Female,45,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,33000,Sjælland
75839,DK,3,5,8,8,5,5,3,1,"Venstre, Danmarks Liberale Parti - The Liberal Party",Male,80,Folkeskole 9.-10. klasse,Monthly,,Midtjylland
75850,DK,9,8,9,9,8,8,8,9,"Venstre, Danmarks Liberale Parti - The Liberal Party",Female,44,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,385000,Sjælland
75969,DK,6,3,5,3,5,5,,,,Female,15,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,18000,Midtjylland
75971,DK,7,8,9,9,7,7,6,6,"Venstre, Danmarks Liberale Parti - The Liberal Party",Male,65,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Annual,250000,Hovedstaden
76109,DK,5,8,10,10,6,6,2,6,Dansk Folkeparti - Danish People's Party,Male,51,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",Annual,280000,Sjælland
76113,DK,6,4,6,9,2,2,3,5,Dansk Folkeparti - Danish People's Party,Female,23,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Syddanmark
76127,DK,7,6,6,7,5,5,7,7,,Female,16,Folkeskole 9.-10. klasse,Monthly,3700,Hovedstaden
76225,DK,7,8,9,8,7,6,8,9,,Male,17,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,2000,Syddanmark
76259,DK,5,7,7,8,6,7,7,7,,Male,68,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,60000,Midtjylland
76452,DK,7,5,7,9,4,4,6,9,,Female,21,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Weekly,5000,Hovedstaden
76553,DK,6,5,7,7,3,3,4,6,"Venstre, Danmarks Liberale Parti - The Liberal Party",Male,67,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,,Midtjylland
76667,DK,8,10,8,10,6,7,8,8,Dansk Folkeparti - Danish People's Party,Male,74,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Sjælland
76690,DK,9,6,9,8,6,,5,5,SF Socialistisk Folkeparti - Socialist People's Party,Male,75,Universitetsbachelor. 1. del af kandidatuddannelse,Monthly,,Nordjylland
76768,DK,6,7,8,9,6,6,5,5,Socialdemokratiet - The Social democrats,Female,70,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,,Midtjylland
76803,DK,8,7,8,9,4,5,7,8,,Male,16,Folkeskole 9.-10. klasse,,,Nordjylland
76848,DK,5,4,5,5,2,1,2,6,Socialdemokratiet - The Social democrats,Male,58,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,27000,Syddanmark
76854,DK,8,8,7,8,4,4,,5,"Venstre, Danmarks Liberale Parti - The Liberal Party",Male,65,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",,,Midtjylland
76863,DK,4,8,10,10,6,4,9,9,,Male,21,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",Monthly,,Midtjylland
76958,DK,6,6,6,8,4,4,1,6,Det Radikale Venstre - The Radical Liberal Party,Male,59,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Nordjylland
76965,DK,8,5,8,8,4,4,4,4,Socialdemokratiet - The Social democrats,Male,78,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,,Midtjylland
77062,DK,9,10,10,10,9,9,5,10,,Female,71,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,,Syddanmark
77093,DK,8,10,10,10,7,7,7,9,Det Konservative Folkeparti - Conservative People's Party,Male,52,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,62000,Syddanmark
77138,DK,8,6,8,7,4,4,4,3,Liberal Alliance - Liberal Alliance,Male,42,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Annual,1500000,Sjælland
77153,DK,8,6,8,10,8,,7,7,Liberal Alliance - Liberal Alliance,Female,37,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,35000,Nordjylland
77167,DK,9,8,10,10,7,7,7,6,Socialdemokratiet - The Social democrats,Male,55,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,28000,Hovedstaden
77198,DK,8,5,10,9,4,,,7,Socialdemokratiet - The Social democrats,Female,69,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,,Sjælland
77275,DK,8,7,8,8,6,6,6,6,Socialdemokratiet - The Social democrats,Male,39,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,51000,Midtjylland
77284,DK,7,4,7,5,5,4,3,3,,Male,90,Folkeskole 6.-8. klasse,Monthly,,Syddanmark
77301,DK,9,8,9,9,6,6,6,8,Det Konservative Folkeparti - Conservative People's Party,Female,60,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,30000,Syddanmark
77371,DK,8,10,10,10,8,8,8,10,"Venstre, Danmarks Liberale Parti - The Liberal Party",Male,54,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,888,Midtjylland
77400,DK,9,5,8,9,5,5,5,8,,Female,55,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,28000,Hovedstaden
77420,DK,8,6,7,8,7,6,,,"Venstre, Danmarks Liberale Parti - The Liberal Party",Female,47,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,21000,Sjælland
77445,DK,4,4,5,5,3,4,3,5,Dansk Folkeparti - Danish People's Party,Female,58,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,24000,Syddanmark
77627,DK,7,6,8,10,6,7,5,8,Liberal Alliance - Liberal Alliance,Male,32,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,33000,Midtjylland
77693,DK,8,8,9,9,6,7,5,8,"Venstre, Danmarks Liberale Parti - The Liberal Party",Male,56,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,28000,Syddanmark
77736,DK,8,5,6,8,5,5,6,7,Alternativet - The Alternative,Female,35,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,,Midtjylland
77785,DK,7,0,5,8,0,0,5,8,Dansk Folkeparti - Danish People's Party,Male,55,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",Monthly,29000,Syddanmark
77833,DK,8,3,3,8,5,5,5,5,Dansk Folkeparti - Danish People's Party,Female,68,Folkeskole 6.-8. klasse,Monthly,,Syddanmark
77940,DK,7,5,7,8,7,9,6,7,Socialdemokratiet - The Social democrats,Male,63,Folkeskole 9.-10. klasse,,,Sjælland
78061,DK,9,0,0,0,0,0,0,5,Enhedslisten - Unity List - The Red-Green Alliance,Male,83,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Hovedstaden
78179,DK,8,8,4,4,7,7,6,0,Enhedslisten - Unity List - The Red-Green Alliance,Male,69,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Syddanmark
78485,DK,8,9,10,9,6,6,6,9,Socialdemokratiet - The Social democrats,Female,35,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,40500,Sjælland
78563,DK,8,7,9,9,5,4,5,9,Socialdemokratiet - The Social democrats,Male,71,"Forskeruddannelse. Ph.d., doktor",Monthly,90000,Sjælland
78605,DK,7,4,7,7,3,3,5,,,Male,66,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Syddanmark
78613,DK,4,2,6,7,2,2,3,3,Socialdemokratiet - The Social democrats,Male,53,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Syddanmark
78714,DK,6,5,6,6,4,4,5,5,"Venstre, Danmarks Liberale Parti - The Liberal Party",Male,44,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,30000,Nordjylland
78728,DK,7,8,1,8,5,7,7,7,Socialdemokratiet - The Social democrats,Male,71,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,,Midtjylland
78838,DK,7,7,9,9,6,6,7,7,Alternativet - The Alternative,Female,30,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,26000,Midtjylland
78996,DK,7,8,10,9,7,,5,5,Socialdemokratiet - The Social democrats,Male,51,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,28000,Syddanmark
79006,DK,8,5,7,9,4,4,5,6,,Female,18,Folkeskole 9.-10. klasse,Monthly,6500,Sjælland
79054,DK,9,6,8,8,4,4,4,4,Socialdemokratiet - The Social democrats,Male,42,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,33000,Hovedstaden
79126,DK,7,10,10,8,6,8,9,9,Det Radikale Venstre - The Radical Liberal Party,Male,88,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Annual,,Syddanmark
79130,DK,8,6,8,8,6,6,6,8,Socialdemokratiet - The Social democrats,Female,78,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Midtjylland
79296,DK,6,9,9,9,7,8,5,9,SF Socialistisk Folkeparti - Socialist People's Party,Male,44,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,30000,Syddanmark
79300,DK,6,10,10,10,5,6,10,10,,Male,20,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Weekly,5500,Sjælland
79301,DK,8,6,9,9,6,2,7,7,Det Radikale Venstre - The Radical Liberal Party,Female,45,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,37800,Nordjylland
79357,DK,7,7,9,6,3,4,7,9,,Male,18,Folkeskole 9.-10. klasse,,,Midtjylland
79376,DK,6,5,7,9,6,6,5,9,,Male,59,Folkeskole 6.-8. klasse,Weekly,,Syddanmark
79460,DK,9,7,8,7,8,8,8,8,,Female,44,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,28000,Syddanmark
79520,DK,5,2,7,7,2,2,2,2,"Venstre, Danmarks Liberale Parti - The Liberal Party",Male,62,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,44000,Sjælland
79533,DK,7,7,8,9,6,6,6,7,"Venstre, Danmarks Liberale Parti - The Liberal Party",Female,63,Folkeskole 9.-10. klasse,Monthly,40000,Syddanmark
79550,DK,3,3,6,8,3,3,3,3,Enhedslisten - Unity List - The Red-Green Alliance,Female,21,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",Monthly,18000,Midtjylland
79596,DK,3,3,5,6,2,2,1,4,Dansk Folkeparti - Danish People's Party,Male,67,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,,Nordjylland
79851,DK,3,7,7,8,4,4,5,5,Det Konservative Folkeparti - Conservative People's Party,Male,53,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,34000,Nordjylland
79882,DK,7,8,,10,7,7,8,10,Socialdemokratiet - The Social democrats,Female,77,Folkeskole 6.-8. klasse,Monthly,,Nordjylland
79975,DK,8,8,8,6,7,6,7,6,Kristendemokraterne - Christian Democrats,Female,63,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,19500,Syddanmark
80016,DK,7,2,2,10,1,2,0,7,Dansk Folkeparti - Danish People's Party,Male,59,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Syddanmark
80032,DK,7,7,7,9,6,7,6,8,Alternativet - The Alternative,Male,32,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,28000,Nordjylland
80037,DK,1,2,2,4,0,0,0,0,,Female,61,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Nordjylland
80081,DK,4,9,9,9,7,8,5,9,Socialdemokratiet - The Social democrats,Female,48,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,45000,Midtjylland
80103,DK,9,5,9,10,6,4,8,7,,Male,35,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,45000,Syddanmark
80114,DK,8,3,8,7,2,3,6,10,Alternativet - The Alternative,Female,34,"Forskeruddannelse. Ph.d., doktor",Monthly,35000,Midtjylland
80132,DK,8,5,10,10,2,5,0,10,Det Radikale Venstre - The Radical Liberal Party,Male,81,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,,Syddanmark
80149,DK,8,5,7,7,3,3,,5,Socialdemokratiet - The Social democrats,Female,63,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,,Midtjylland
80193,DK,7,8,8,8,5,7,5,5,"Venstre, Danmarks Liberale Parti - The Liberal Party",Female,78,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,,Sjælland
80200,DK,9,8,9,8,7,7,8,8,Enhedslisten - Unity List - The Red-Green Alliance,Female,29,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,32000,Sjælland
80205,DK,0,7,8,6,6,5,,6,,Female,48,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,23500,Syddanmark
