,idno,gndr,agea,region,prtvtddk,edlvddk,infqbst,grspnum
0,110,Male,69,DK04,Socialdemokratiet - The Social democrats,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Don't know,
1,705,Male,60,DK05,Det Konservative Folkeparti - Conservative People's Party,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Annual,
2,1327,Male,18,DK02,Not applicable,Folkeskole 9.-10. klasse,No answer,
3,3760,Male,16,DK04,Not applicable,Folkeskole 9.-10. klasse,Weekly,200.0
4,4658,Female,62,DK02,Refusal,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Annual,
5,5816,Male,44,DK01,SF Socialistisk Folkeparti - Socialist People's Party,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,37000.0
6,7251,Female,43,DK02,Dansk Folkeparti - Danish People's Party,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,22000.0
7,7887,Male,60,DK04,Socialdemokratiet - The Social democrats,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,36000.0
8,9607,Female,54,DK04,Alternativet - The Alternative,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,32000.0
9,11123,Male,44,DK05,Socialdemokratiet - The Social democrats,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Weekly,9000.0
10,11688,Female,66,DK05,Socialdemokratiet - The Social democrats,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,
11,12355,Male,55,DK03,Socialdemokratiet - The Social democrats,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,36000.0
12,16357,Male,27,DK03,Dansk Folkeparti - Danish People's Party,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,40000.0
13,17504,Female,34,DK03,Dansk Folkeparti - Danish People's Party,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,
14,19970,Female,52,DK04,Liberal Alliance - Liberal Alliance,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,85000.0
15,20724,Male,60,DK05,"Venstre, Danmarks Liberale Parti - The Liberal Party","Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,28000.0
16,22248,Female,68,DK01,Socialdemokratiet - The Social democrats,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,
17,24928,Male,53,DK03,"Venstre, Danmarks Liberale Parti - The Liberal Party","Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,50000.0
18,27000,Male,62,DK04,"Venstre, Danmarks Liberale Parti - The Liberal Party","Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,90000.0
19,27211,Male,49,DK02,Kristendemokraterne - Christian Democrats,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,26000.0
20,27650,Male,51,DK01,Refusal,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Weekly,7000.0
21,28202,Male,28,DK03,Det Radikale Venstre - The Radical Liberal Party,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,28000.0
22,29156,Male,86,DK05,Dansk Folkeparti - Danish People's Party,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,
23,29471,Male,52,DK03,Det Radikale Venstre - The Radical Liberal Party,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,40000.0
24,31317,Female,70,DK05,"Venstre, Danmarks Liberale Parti - The Liberal Party","Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,
25,32191,Female,62,DK04,Socialdemokratiet - The Social democrats,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,34500.0
26,33174,Male,69,DK02,Alternativet - The Alternative,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,
27,33307,Male,27,DK04,Not applicable,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,
28,34031,Male,31,DK03,Det Konservative Folkeparti - Conservative People's Party,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",No answer,
29,34446,Female,43,DK02,"Venstre, Danmarks Liberale Parti - The Liberal Party","Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,25000.0
30,34955,Female,55,DK04,Socialdemokratiet - The Social democrats,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,33000.0
31,38221,Female,36,DK02,Socialdemokratiet - The Social democrats,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,24000.0
32,38848,Female,39,DK02,Socialdemokratiet - The Social democrats,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,21000.0
33,38971,Male,38,DK02,Dansk Folkeparti - Danish People's Party,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,44000.0
34,39619,Male,76,DK01,Socialdemokratiet - The Social democrats,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,
35,40317,Male,29,DK02,Det Konservative Folkeparti - Conservative People's Party,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Weekly,6000.0
36,40476,Female,20,DK02,Other,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",No answer,
37,42274,Female,63,DK04,Refusal,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,38500.0
38,44490,Female,36,DK04,Det Radikale Venstre - The Radical Liberal Party,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,42000.0
39,46190,Male,51,DK01,"Venstre, Danmarks Liberale Parti - The Liberal Party","Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,37000.0
40,46404,Male,53,DK05,Not applicable,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,92000.0
41,46606,Female,25,DK04,Alternativet - The Alternative,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,10000.0
42,47316,Female,20,DK04,Not applicable,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",No answer,
43,48773,Female,67,DK02,Socialdemokratiet - The Social democrats,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Refusal,
44,49450,Male,31,DK02,SF Socialistisk Folkeparti - Socialist People's Party,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,24000.0
45,50526,Female,76,DK03,Refusal,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,
46,52559,Female,17,DK03,Not applicable,Folkeskole 9.-10. klasse,No answer,
47,53574,Male,25,DK04,Socialdemokratiet - The Social democrats,Universitetsbachelor. 1. del af kandidatuddannelse,Monthly,14000.0
48,55481,Female,34,DK01,Refusal,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,39000.0
49,56690,Female,78,DK01,Det Konservative Folkeparti - Conservative People's Party,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,
50,58403,Male,63,DK02,Alternativet - The Alternative,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Annual,450000.0
51,59410,Male,50,DK05,Dansk Folkeparti - Danish People's Party,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,30000.0
52,59841,Female,46,DK04,Alternativet - The Alternative,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,45000.0
53,61995,Female,41,DK04,Socialdemokratiet - The Social democrats,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,19500.0
54,62055,Female,83,DK02,Not applicable,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,
55,62232,Male,76,DK03,Dansk Folkeparti - Danish People's Party,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,
56,62601,Female,57,DK04,Socialdemokratiet - The Social democrats,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,28000.0
57,63738,Male,36,DK03,"Venstre, Danmarks Liberale Parti - The Liberal Party","Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,45000.0
58,64617,Female,27,DK03,Socialdemokratiet - The Social democrats,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,
59,66405,Male,69,DK03,Socialdemokratiet - The Social democrats,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,
60,66500,Male,38,DK03,Socialdemokratiet - The Social democrats,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,31000.0
61,66561,Male,61,DK02,Socialdemokratiet - The Social democrats,Folkeskole 9.-10. klasse,Monthly,35000.0
62,68174,Male,84,DK05,Dansk Folkeparti - Danish People's Party,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,
63,68781,Female,73,DK03,SF Socialistisk Folkeparti - Socialist People's Party,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,
64,69758,Male,51,DK03,Not applicable,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,34000.0
65,75245,Male,33,DK01,Dansk Folkeparti - Danish People's Party,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,50000.0
66,75287,Male,23,DK03,Don't know,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,
67,75328,Female,40,DK04,Det Radikale Venstre - The Radical Liberal Party,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,
68,75393,Male,77,DK03,Liberal Alliance - Liberal Alliance,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Annual,
69,75408,Male,17,DK03,Not applicable,Folkeskole 9.-10. klasse,Monthly,0.0
70,75478,Female,20,DK05,Not applicable,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,6000.0
71,75552,Male,29,DK04,Not applicable,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,35000.0
72,75748,Female,45,DK02,Socialdemokratiet - The Social democrats,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,33000.0
73,75839,Male,80,DK04,"Venstre, Danmarks Liberale Parti - The Liberal Party",Folkeskole 9.-10. klasse,Monthly,
74,75850,Female,44,DK02,"Venstre, Danmarks Liberale Parti - The Liberal Party","Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,385000.0
75,75969,Female,15,DK04,Not applicable,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,18000.0
76,75971,Male,65,DK01,"Venstre, Danmarks Liberale Parti - The Liberal Party","Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Annual,250000.0
77,76109,Male,51,DK02,Dansk Folkeparti - Danish People's Party,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",Annual,280000.0
78,76113,Female,23,DK03,Dansk Folkeparti - Danish People's Party,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,
79,76127,Female,16,DK01,Not applicable,Folkeskole 9.-10. klasse,Monthly,3700.0
80,76225,Male,17,DK03,Not applicable,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,2000.0
81,76259,Male,68,DK04,Not applicable,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,60000.0
82,76452,Female,21,DK01,Not applicable,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Weekly,5000.0
83,76553,Male,67,DK04,"Venstre, Danmarks Liberale Parti - The Liberal Party","Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,
84,76667,Male,74,DK02,Dansk Folkeparti - Danish People's Party,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,
85,76690,Male,75,DK05,SF Socialistisk Folkeparti - Socialist People's Party,Universitetsbachelor. 1. del af kandidatuddannelse,Monthly,
86,76768,Female,70,DK04,Socialdemokratiet - The Social democrats,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,
87,76803,Male,16,DK05,Not applicable,Folkeskole 9.-10. klasse,Not applicable,
88,76848,Male,58,DK03,Socialdemokratiet - The Social democrats,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,27000.0
89,76854,Male,65,DK04,"Venstre, Danmarks Liberale Parti - The Liberal Party","Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Not applicable,
90,76863,Male,21,DK04,Not applicable,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",Monthly,
91,76958,Male,59,DK05,Det Radikale Venstre - The Radical Liberal Party,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,
92,76965,Male,78,DK04,Socialdemokratiet - The Social democrats,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,
93,77062,Female,71,DK03,Refusal,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,
94,77093,Male,52,DK03,Det Konservative Folkeparti - Conservative People's Party,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,62000.0
95,77138,Male,42,DK02,Liberal Alliance - Liberal Alliance,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Annual,1500000.0
96,77153,Female,37,DK05,Liberal Alliance - Liberal Alliance,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,35000.0
97,77167,Male,55,DK01,Socialdemokratiet - The Social democrats,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,28000.0
98,77198,Female,69,DK02,Socialdemokratiet - The Social democrats,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,
99,77275,Male,39,DK04,Socialdemokratiet - The Social democrats,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,51000.0
100,77284,Male,90,DK03,Not applicable,Folkeskole 6.-8. klasse,Monthly,
101,77301,Female,60,DK03,Det Konservative Folkeparti - Conservative People's Party,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,30000.0
102,77371,Male,54,DK04,"Venstre, Danmarks Liberale Parti - The Liberal Party","Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,888.0
103,77400,Female,55,DK01,Don't know,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,28000.0
104,77420,Female,47,DK02,"Venstre, Danmarks Liberale Parti - The Liberal Party","Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,21000.0
105,77445,Female,58,DK03,Dansk Folkeparti - Danish People's Party,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,24000.0
106,77627,Male,32,DK04,Liberal Alliance - Liberal Alliance,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,33000.0
107,77693,Male,56,DK03,"Venstre, Danmarks Liberale Parti - The Liberal Party","Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,28000.0
108,77736,Female,35,DK04,Alternativet - The Alternative,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,
109,77785,Male,55,DK03,Dansk Folkeparti - Danish People's Party,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",Monthly,29000.0
110,77833,Female,68,DK03,Dansk Folkeparti - Danish People's Party,Folkeskole 6.-8. klasse,Monthly,
111,77940,Male,63,DK02,Socialdemokratiet - The Social democrats,Folkeskole 9.-10. klasse,Refusal,
112,78061,Male,83,DK01,Enhedslisten - Unity List - The Red-Green Alliance,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,
113,78179,Male,69,DK03,Enhedslisten - Unity List - The Red-Green Alliance,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,
114,78485,Female,35,DK02,Socialdemokratiet - The Social democrats,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,40500.0
115,78563,Male,71,DK02,Socialdemokratiet - The Social democrats,"Forskeruddannelse. Ph.d., doktor",Monthly,90000.0
116,78605,Male,66,DK03,Don't know,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,
117,78613,Male,53,DK03,Socialdemokratiet - The Social democrats,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,
118,78714,Male,44,DK05,"Venstre, Danmarks Liberale Parti - The Liberal Party","Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,30000.0
119,78728,Male,71,DK04,Socialdemokratiet - The Social democrats,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,
120,78838,Female,30,DK04,Alternativet - The Alternative,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,26000.0
121,78996,Male,51,DK03,Socialdemokratiet - The Social democrats,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,28000.0
122,79006,Female,18,DK02,Not applicable,Folkeskole 9.-10. klasse,Monthly,6500.0
123,79054,Male,42,DK01,Socialdemokratiet - The Social democrats,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,33000.0
124,79126,Male,88,DK03,Det Radikale Venstre - The Radical Liberal Party,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Annual,
125,79130,Female,78,DK04,Socialdemokratiet - The Social democrats,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,
126,79296,Male,44,DK03,SF Socialistisk Folkeparti - Socialist People's Party,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,30000.0
127,79300,Male,20,DK02,Not applicable,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Weekly,5500.0
128,79301,Female,45,DK05,Det Radikale Venstre - The Radical Liberal Party,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,37800.0
129,79357,Male,18,DK04,Not applicable,Folkeskole 9.-10. klasse,Not applicable,
130,79376,Male,59,DK03,Not applicable,Folkeskole 6.-8. klasse,Weekly,
131,79460,Female,44,DK03,Don't know,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,28000.0
132,79520,Male,62,DK02,"Venstre, Danmarks Liberale Parti - The Liberal Party","Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,44000.0
133,79533,Female,63,DK03,"Venstre, Danmarks Liberale Parti - The Liberal Party",Folkeskole 9.-10. klasse,Monthly,40000.0
134,79550,Female,21,DK04,Enhedslisten - Unity List - The Red-Green Alliance,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",Monthly,18000.0
135,79596,Male,67,DK05,Dansk Folkeparti - Danish People's Party,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,
136,79851,Male,53,DK05,Det Konservative Folkeparti - Conservative People's Party,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,34000.0
137,79882,Female,77,DK05,Socialdemokratiet - The Social democrats,Folkeskole 6.-8. klasse,Monthly,
138,79975,Female,63,DK03,Kristendemokraterne - Christian Democrats,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,19500.0
139,80016,Male,59,DK03,Dansk Folkeparti - Danish People's Party,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,
140,80032,Male,32,DK05,Alternativet - The Alternative,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,28000.0
141,80037,Female,61,DK05,Don't know,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,
142,80081,Female,48,DK04,Socialdemokratiet - The Social democrats,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,45000.0
143,80103,Male,35,DK03,Not applicable,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,45000.0
144,80114,Female,34,DK04,Alternativet - The Alternative,"Forskeruddannelse. Ph.d., doktor",Monthly,35000.0
145,80132,Male,81,DK03,Det Radikale Venstre - The Radical Liberal Party,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,
146,80149,Female,63,DK04,Socialdemokratiet - The Social democrats,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,
147,80193,Female,78,DK02,"Venstre, Danmarks Liberale Parti - The Liberal Party","Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,
148,80200,Female,29,DK02,Enhedslisten - Unity List - The Red-Green Alliance,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,32000.0
149,80205,Female,48,DK03,Don't know,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,23500.0
150,80321,Male,50,DK04,Socialdemokratiet - The Social democrats,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,34000.0
151,80328,Male,53,DK04,Socialdemokratiet - The Social democrats,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,29000.0
152,80377,Female,49,DK03,Kristendemokraterne - Christian Democrats,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,38000.0
153,80397,Male,69,DK03,Dansk Folkeparti - Danish People's Party,Folkeskole 6.-8. klasse,Monthly,
154,80444,Male,78,DK03,Dansk Folkeparti - Danish People's Party,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Not applicable,
155,80448,Male,53,DK05,Socialdemokratiet - The Social democrats,Folkeskole 9.-10. klasse,Monthly,
156,80527,Male,34,DK05,Socialdemokratiet - The Social democrats,Folkeskole 9.-10. klasse,Monthly,
157,80559,Male,45,DK04,Det Konservative Folkeparti - Conservative People's Party,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,50000.0
158,80595,Female,53,DK05,Alternativet - The Alternative,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Annual,300000.0
159,80601,Male,23,DK02,Don't know,Other,Monthly,18000.0
160,80612,Male,55,DK01,Socialdemokratiet - The Social democrats,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,32000.0
161,80674,Male,47,DK04,Det Konservative Folkeparti - Conservative People's Party,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,
162,80806,Male,48,DK02,"Venstre, Danmarks Liberale Parti - The Liberal Party","Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,50000.0
163,80911,Female,43,DK05,Socialdemokratiet - The Social democrats,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,25000.0
164,81022,Female,34,DK05,"Venstre, Danmarks Liberale Parti - The Liberal Party","Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,25200.0
165,81090,Female,64,DK04,Enhedslisten - Unity List - The Red-Green Alliance,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Annual,
166,81161,Female,28,DK04,Not applicable,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,11000.0
167,81198,Male,24,DK01,Not applicable,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,43000.0
168,81304,Male,32,DK02,Dansk Folkeparti - Danish People's Party,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",Monthly,28000.0
169,81488,Female,66,DK05,"Venstre, Danmarks Liberale Parti - The Liberal Party","Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,
170,81599,Female,36,DK03,Enhedslisten - Unity List - The Red-Green Alliance,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,
171,81609,Female,41,DK04,Det Radikale Venstre - The Radical Liberal Party,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,500000.0
172,81636,Female,49,DK04,Socialdemokratiet - The Social democrats,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,32000.0
173,81734,Female,49,DK04,Socialdemokratiet - The Social democrats,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,
174,81867,Female,17,DK01,Not applicable,Folkeskole 9.-10. klasse,Monthly,1867.0
175,81874,Male,86,DK03,Not applicable,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,
176,82020,Female,55,DK03,"Venstre, Danmarks Liberale Parti - The Liberal Party","Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,29000.0
177,82073,Male,44,DK02,Not applicable,Folkeskole 9.-10. klasse,Monthly,25000.0
178,82127,Female,23,DK05,Enhedslisten - Unity List - The Red-Green Alliance,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",Monthly,
179,82130,Male,67,DK03,Not applicable,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,
180,82155,Male,18,DK05,Not applicable,Folkeskole 9.-10. klasse,Not applicable,
181,82157,Male,64,DK03,Socialdemokratiet - The Social democrats,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,
182,82227,Female,68,DK02,"Venstre, Danmarks Liberale Parti - The Liberal Party","Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,
183,82254,Male,55,DK03,Socialdemokratiet - The Social democrats,Folkeskole 9.-10. klasse,Monthly,27500.0
184,82263,Female,76,DK03,Refusal,Folkeskole 6.-8. klasse,Monthly,
185,82352,Female,90,DK04,Not applicable,Folkeskole 9.-10. klasse,Don't know,
186,82359,Male,16,DK03,Not applicable,Folkeskole 9.-10. klasse,No answer,
187,82483,Male,26,DK04,SF Socialistisk Folkeparti - Socialist People's Party,Universitetsbachelor. 1. del af kandidatuddannelse,Monthly,29000.0
