,idno,gndr,agea,region,prtvtddk,edlvddk,infqbst,grspnum
1377,140289,Female,16,DK04,Not applicable,Folkeskole 9.-10. klasse,No answer,
1378,140312,Female,32,DK04,Socialdemokratiet - The Social democrats,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,
1379,140321,Male,24,DK01,Liberal Alliance - Liberal Alliance,Universitetsbachelor. 1. del af kandidatuddannelse,Monthly,
1380,140438,Male,67,DK03,Not applicable,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,
1381,140448,Male,31,DK04,Socialdemokratiet - The Social democrats,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,36500.0
1382,140504,Female,47,DK03,Liberal Alliance - Liberal Alliance,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,19000.0
1383,140523,Male,44,DK04,Socialdemokratiet - The Social democrats,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,30000.0
1384,140616,Male,63,DK02,Socialdemokratiet - The Social democrats,Folkeskole 9.-10. klasse,Monthly,
1385,140618,Male,45,DK03,Socialdemokratiet - The Social democrats,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,28000.0
1386,140647,Male,30,DK03,Liberal Alliance - Liberal Alliance,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,28000.0
1387,140757,Male,31,DK04,Det Radikale Venstre - The Radical Liberal Party,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,
1388,140843,Female,33,DK05,"Venstre, Danmarks Liberale Parti - The Liberal Party","Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,43000.0
1389,140856,Male,36,DK01,Socialdemokratiet - The Social democrats,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Weekly,8000.0
1390,140902,Male,21,DK04,Not applicable,Folkeskole 9.-10. klasse,Monthly,5000.0
1391,140989,Female,48,DK01,Socialdemokratiet - The Social democrats,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,31000.0
1392,141006,Female,15,DK05,Not applicable,Folkeskole 6.-8. klasse,Not applicable,
1393,141130,Female,19,DK03,Not applicable,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Not applicable,
